group,location,cpt,total,cpt_ok,rate
SIO-PSS,PIERCE STREET SURGERY CENTER,00940,3,3,1.0000
IAS-BHS,BELOIT HEALTH SYSTEM INC,01400,3,3,1.0000
IAS-BHS,BELOIT HEALTH SYSTEM INC,00862,3,3,1.0000
IAS-BHS,BELOIT HEALTH SYSTEM INC,00790,3,3,1.0000
KAP-CYP,CYPRESS SURGERY CENTER LLC,00802,3,3,1.0000
TQA-ARSC,ALGONQUIN ROAD SURGERY CTR LLC,01400,3,3,1.0000
PRI-CRS,CTR FOR ROBOTIC SURGERY LA,01402,3,3,1.0000
EAP-CMI,CENTER FOR MINIMALLY INV SURG,00160,3,3,1.0000
GOS-GOH,GOSHEN HOSPITAL,00812,3,3,1.0000
IAS-BHS,BELOIT HEALTH SYSTEM INC,00520,3,3,1.0000
IAS-BHS,BELOIT HEALTH SYSTEM INC,00912,3,3,1.0000
APO-ORA,ORA SURGERY CENTER,01638,3,3,1.0000
PRM,MARGARET MARY HEALTH CTR,00918,3,3,1.0000
PRM,MARGARET MARY HEALTH CTR,00830,3,3,1.0000
PRM,MARGARET MARY HEALTH CTR,00902,3,3,1.0000
GOS-GOH,GOSHEN HOSPITAL,00914,3,3,1.0000
GAP,FINLEY HOSPITAL,01967,3,3,1.0000
PRM,MARGARET MARY HEALTH CTR,01402,3,3,1.0000
INJE-NRSC,NORTHWEST REGIONAL SURG CTR LLC,01830,3,3,1.0000
